area_id,area_name,b16005d001,b16005d001_moe,b16005d002,b16005d002_moe,b16005d003,b16005d003_moe,b16005d004,b16005d004_moe,b16005d005,b16005d005_moe,b16005d006,b16005d006_moe,b16005d007,b16005d007_moe,b16005d008,b16005d008_moe,b16005d009,b16005d009_moe,b16005d010,b16005d010_moe,b16005d011,b16005d011_moe
1.1,Arbor Heights,424,142,168,96,168,96,0,17,0,17,0,17,256,100,83,57,173,88,76,56,97,77
1.2,Fauntleroy/Seaview,529,145,212,104,159,92,53,50,38,35,15,29,317,119,45,41,272,115,230,110,42,47
1.3,West Seattle Junction/Genesee Hill,751,207,317,158,196,84,121,114,94,90,27,35,434,143,76,62,358,137,187,95,171,98
1.4,Alki/Admiral,462,154,115,62,105,60,10,27,10,27,0,24,347,136,124,75,223,114,172,104,51,48
2.1,North Delridge,477,242,235,125,107,72,128,89,114,84,14,23,242,139,32,53,210,123,81,66,129,102
2.2,High Point,1273,287,387,161,150,97,237,106,152,105,85,82,886,236,78,87,808,219,366,197,442,132
2.3,Riverview,905,207,266,118,127,85,139,103,139,103,0,12,639,151,139,119,500,168,155,73,345,128
2.4,Roxhill/Westwood,1421,339,359,142,167,78,192,114,166,109,26,33,1062,285,77,54,985,288,386,177,599,222
2.5,Highland Park,1127,280,306,133,141,88,165,114,127,115,38,57,821,244,107,97,714,233,351,176,363,162
3.1,South Park,703,210,125,60,0,17,125,60,53,40,72,60,578,183,38,52,540,160,113,69,427,127
3.2,Georgetown,156,100,28,35,28,35,0,12,0,12,0,12,128,78,0,12,128,78,51,32,77,47
3.3,Duwamish/SODO,516,140,209,93,105,90,104,67,86,70,18,20,307,132,43,32,264,113,38,31,226,102
3.4,South Beacon Hill/NewHolly,7187,951,1721,347,779,234,942,252,730,226,212,109,5466,818,210,101,5256,826,1457,377,3799,673
3.5,Beacon Hill,5564,725,1506,408,720,297,786,235,694,223,92,74,4058,621,294,193,3764,631,1141,303,2623,511
3.6,North Beacon Hill/Jefferson Park,5422,544,1537,322,573,183,964,301,795,294,169,94,3885,451,199,118,3686,447,765,268,2921,478
4.1,Rainier Beach,4036,662,1403,422,919,414,484,199,412,185,72,58,2633,456,99,68,2534,457,1119,305,1415,336
4.2,Columbia City,4357,563,1241,269,482,187,759,220,517,197,242,116,3116,504,128,75,2988,511,823,229,2165,446
4.3,Seward Park,1582,216,513,182,381,129,132,98,102,94,30,30,1069,192,89,87,980,187,351,109,629,156
4.4,Mt. Baker/North Rainier,834,155,241,128,73,68,168,119,168,119,0,17,593,118,89,69,504,128,151,85,353,142
5.1,Madrona/Leschi,711,164,277,97,235,82,42,41,42,41,0,21,434,152,195,116,239,107,165,84,74,59
5.2,Judkins Park,1050,258,235,102,53,38,182,98,91,64,91,61,815,202,51,44,764,193,287,138,477,123
5.3,Central Area/Squire Park,1119,305,533,211,425,169,108,110,108,110,0,24,586,225,57,45,529,224,340,192,189,102
6.1,First Hill,2101,356,553,166,379,158,174,77,116,61,58,47,1548,292,254,110,1294,288,483,176,811,217
6.2,Capitol Hill,1543,379,510,178,340,151,170,92,124,81,46,47,1033,309,299,116,734,296,421,182,313,241
6.3,North Capitol Hill,250,119,137,99,105,90,32,38,32,38,0,12,113,66,44,42,69,52,52,47,17,26
6.4,Miller Park,418,120,182,71,147,68,35,30,30,28,5,14,236,98,45,33,191,97,86,65,105,66
6.5,Madison Park,241,140,69,50,51,40,18,28,18,28,0,17,172,142,24,27,148,138,93,105,55,56
7.1,Montlake/Portage Bay,490,139,132,71,126,70,6,22,6,22,0,21,358,126,75,58,283,124,136,75,147,82
7.2,University District,4703,623,2160,420,878,219,1282,321,1024,270,258,117,2543,465,280,130,2263,453,1090,232,1173,338
7.3,Ravenna/Bryant,2497,544,841,184,504,140,337,132,204,92,133,98,1656,469,370,185,1286,454,703,313,583,232
7.4,Wedgwood/View Ridge,1682,261,659,159,346,141,313,121,290,123,23,30,1023,244,98,60,925,238,592,184,333,140
7.5,Laurelhurst/Sand Point,1299,374,398,190,249,135,149,103,149,103,0,21,901,277,96,68,805,266,489,196,316,143
8.1,Northgate/Maple Leaf,2171,381,616,198,313,128,303,154,261,142,42,38,1555,350,281,173,1274,310,662,291,612,234
8.2,Olympic Hills/Victory Heights,2366,489,646,224,460,220,186,86,169,79,17,33,1720,461,181,95,1539,414,538,192,1001,338
8.3,Cedar Park/Meadowbrook,1250,263,441,157,267,94,174,124,162,123,12,28,809,218,83,47,726,214,216,119,510,186
9.1,Broadview/Bitter Lake,1199,326,428,127,245,92,183,98,137,88,46,47,771,281,99,62,672,268,283,154,389,170
9.2,Licton Springs,1398,317,503,166,271,120,232,116,151,93,81,72,895,281,135,100,760,279,295,163,465,217
9.3,Greenwood/Phinney Ridge,1659,273,729,189,485,163,244,109,203,117,41,86,930,202,220,101,710,183,330,115,380,106
9.4,Green Lake,1041,249,427,148,310,115,117,70,99,62,18,35,614,179,110,69,504,164,277,125,227,104
9.5,Haller Lake,1373,264,423,134,280,130,143,79,96,70,47,43,950,217,74,59,876,216,403,158,473,170
10.1,North Beach/Blue Ridge,486,148,227,85,149,70,78,49,69,49,9,22,259,117,91,56,168,98,71,63,97,79
10.2,Whittier Heights,444,135,208,97,102,60,106,75,51,46,55,53,236,113,76,57,160,99,60,56,100,103
10.3,Sunset Hill/Loyal Heights,551,148,179,89,174,88,5,20,0,24,5,20,372,144,56,43,316,138,212,95,104,93
10.4,Ballard,570,244,257,147,209,138,48,43,25,41,23,29,313,211,73,79,240,199,203,181,37,61
11.1,Fremont,853,210,390,143,279,124,111,85,60,66,51,63,463,156,74,50,389,148,271,123,118,81
11.2,Wallingford,1697,351,879,287,507,222,372,151,268,128,104,61,818,238,230,113,588,215,323,135,265,160
11.3,Cascade/Eastlake,2011,497,726,277,574,267,152,91,127,85,25,42,1285,486,417,426,868,271,462,218,406,166
12.1,Magnolia,713,218,314,186,214,135,100,114,70,91,30,52,399,105,142,84,257,77,190,77,67,54
12.2,Interbay,569,229,208,174,172,170,36,43,36,43,0,21,361,156,93,70,268,170,140,124,128,120
12.3,Queen Anne,2789,413,1311,299,945,261,366,135,327,129,39,46,1478,330,353,149,1125,314,832,276,293,137
13.1,Belltown,895,330,213,96,127,78,86,65,74,61,12,22,682,317,157,101,525,295,319,160,206,234
13.2,Downtown Commercial Core,329,168,112,79,81,62,31,34,31,34,0,12,217,134,13,21,204,133,37,44,167,121
13.3,Pioneer Square/International District,2312,320,414,195,158,80,256,176,126,78,130,120,1898,237,120,78,1778,229,223,82,1555,209
