area_id,area_name,b16005g001,b16005g001_moe,b16005g002,b16005g002_moe,b16005g003,b16005g003_moe,b16005g004,b16005g004_moe,b16005g005,b16005g005_moe,b16005g006,b16005g006_moe,b16005g007,b16005g007_moe,b16005g008,b16005g008_moe,b16005g009,b16005g009_moe,b16005g010,b16005g010_moe,b16005g011,b16005g011_moe
1.1,Arbor Heights,370,187,323,166,251,144,72,79,10,20,62,69,47,45,34,40,13,23,13,23,0,17
1.2,Fauntleroy/Seaview,405,184,405,184,400,185,5,20,0,24,5,20,0,24,0,24,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,657,208,639,205,545,185,94,94,94,94,0,29,18,32,17,36,1,25,1,25,0,29
1.4,Alki/Admiral,362,175,357,174,357,174,0,24,0,24,0,24,5,20,0,24,5,20,0,24,5,20
2.1,North Delridge,245,125,228,123,215,123,13,22,13,22,0,12,17,26,0,12,17,26,1,2,16,26
2.2,High Point,209,111,186,106,151,101,35,33,35,33,0,17,23,30,16,30,7,17,7,17,0,17
2.3,Riverview,294,126,262,104,252,101,10,18,10,18,0,12,32,48,32,48,0,12,0,12,0,12
2.4,Roxhill/Westwood,587,197,488,167,416,148,72,74,47,64,25,42,99,69,11,25,88,64,23,30,65,60
2.5,Highland Park,284,149,284,149,245,147,39,46,39,46,0,21,0,21,0,21,0,21,0,21,0,21
3.1,South Park,276,248,134,112,128,113,6,16,6,16,0,17,142,221,0,17,142,221,0,17,142,221
3.2,Georgetown,69,68,33,38,18,35,15,15,15,15,0,12,36,58,0,12,36,58,0,12,36,58
3.3,Duwamish/SODO,75,55,75,55,54,41,21,32,21,32,0,12,0,12,0,12,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,393,184,366,179,295,160,71,48,57,41,14,30,27,45,0,24,27,45,0,24,27,45
3.5,Beacon Hill,302,190,266,166,144,105,122,106,122,106,0,17,36,44,0,17,36,44,17,30,19,33
3.6,North Beacon Hill/Jefferson Park,686,254,516,195,372,144,144,134,129,147,15,41,170,95,12,27,158,95,128,98,30,68
4.1,Rainier Beach,728,371,695,366,695,366,0,27,0,27,0,27,33,41,15,31,18,38,0,27,18,38
4.2,Columbia City,722,251,641,239,513,204,128,105,111,100,17,34,81,67,23,35,58,62,58,62,0,27
4.3,Seward Park,394,165,344,152,295,144,49,44,49,44,0,17,50,42,24,27,26,34,16,22,10,20
4.4,Mt. Baker/North Rainier,306,165,306,165,306,165,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
5.1,Madrona/Leschi,555,350,555,350,342,166,213,210,213,210,0,21,0,21,0,21,0,21,0,21,0,21
5.2,Judkins Park,205,147,189,134,166,128,23,26,23,26,0,12,16,26,16,26,0,12,0,12,0,12
5.3,Central Area/Squire Park,924,303,885,299,872,298,13,30,13,30,0,24,39,45,26,45,13,24,13,24,0,24
6.1,First Hill,731,179,703,179,629,167,74,58,74,58,0,24,28,31,0,24,28,31,14,25,14,27
6.2,Capitol Hill,804,266,616,234,533,224,83,73,83,73,0,29,188,121,86,75,102,106,86,103,16,35
6.3,North Capitol Hill,90,86,90,86,90,86,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
6.4,Miller Park,241,119,196,96,186,90,10,20,10,20,0,17,45,42,20,33,25,30,25,30,0,17
6.5,Madison Park,117,80,106,78,80,71,26,31,26,31,0,17,11,19,0,17,11,19,11,19,0,17
7.1,Montlake/Portage Bay,358,131,343,129,332,126,11,28,11,28,0,21,15,29,0,21,15,29,15,29,0,21
7.2,University District,960,237,890,224,690,220,200,108,174,107,26,29,70,71,17,36,53,66,9,27,44,66
7.3,Ravenna/Bryant,1161,249,1141,248,995,228,146,94,136,90,10,33,20,38,5,30,15,39,15,39,0,32
7.4,Wedgwood/View Ridge,706,202,634,186,566,171,68,56,52,51,16,31,72,80,10,29,62,78,50,77,12,30
7.5,Laurelhurst/Sand Point,457,239,387,196,268,132,119,118,119,118,0,21,70,68,0,21,70,68,70,68,0,21
8.1,Northgate/Maple Leaf,320,112,294,107,240,96,54,55,43,47,11,28,26,32,12,25,14,31,14,31,0,24
8.2,Olympic Hills/Victory Heights,659,276,615,261,583,260,32,28,23,30,9,23,44,51,28,44,16,35,16,35,0,24
8.3,Cedar Park/Meadowbrook,420,151,403,149,372,141,31,53,31,53,0,27,17,28,9,28,8,27,0,27,8,27
9.1,Broadview/Bitter Lake,695,290,684,290,565,273,119,81,83,59,36,58,11,29,0,27,11,29,11,29,0,27
9.2,Licton Springs,418,215,418,215,361,162,57,75,57,75,0,17,0,17,0,17,0,17,0,17,0,17
9.3,Greenwood/Phinney Ridge,1218,332,1159,326,1055,306,104,76,85,68,19,42,59,64,15,36,44,60,0,29,44,60
9.4,Green Lake,571,216,547,212,463,204,84,65,84,65,0,24,24,36,24,36,0,24,0,24,0,24
9.5,Haller Lake,351,174,299,131,265,129,34,38,15,26,19,34,52,68,44,68,8,21,8,21,0,21
10.1,North Beach/Blue Ridge,498,205,471,208,391,184,80,79,53,67,27,46,27,33,0,21,27,33,11,25,16,30
10.2,Whittier Heights,439,203,439,203,365,150,74,83,74,83,0,24,0,24,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,677,235,677,235,535,226,142,76,142,76,0,24,0,24,0,24,0,24,0,24,0,24
10.4,Ballard,333,200,333,200,220,145,113,141,113,141,0,17,0,17,0,17,0,17,0,17,0,17
11.1,Fremont,740,275,691,259,647,256,44,43,44,43,0,24,49,59,49,59,0,24,0,24,0,24
11.2,Wallingford,688,193,618,181,533,170,85,74,85,74,0,27,70,64,23,31,47,58,47,58,0,27
11.3,Cascade/Eastlake,485,189,455,188,440,188,15,30,15,30,0,21,30,40,0,21,30,40,30,40,0,21
12.1,Magnolia,261,142,261,142,183,108,78,95,78,95,0,24,0,24,0,24,0,24,0,24,0,24
12.2,Interbay,383,182,383,182,356,177,27,46,27,46,0,21,0,21,0,21,0,21,0,21,0,21
12.3,Queen Anne,1722,439,1578,374,1415,351,163,106,111,85,52,73,144,125,65,90,79,96,62,83,17,46
13.1,Belltown,367,166,355,166,339,165,16,28,16,28,0,21,12,25,0,21,12,25,12,25,0,21
13.2,Downtown Commercial Core,211,127,185,120,150,112,35,38,35,38,0,12,26,41,0,12,26,41,13,20,13,21
13.3,Pioneer Square/International District,142,83,121,69,111,62,10,20,10,20,0,17,21,49,0,17,21,49,0,17,21,49
