area_id,area_name,b16005h001,b16005h001_moe,b16005h002,b16005h002_moe,b16005h003,b16005h003_moe,b16005h004,b16005h004_moe,b16005h005,b16005h005_moe,b16005h006,b16005h006_moe,b16005h007,b16005h007_moe,b16005h008,b16005h008_moe,b16005h009,b16005h009_moe,b16005h010,b16005h010_moe,b16005h011,b16005h011_moe
1.1,Arbor Heights,4591,309,4423,309,4242,314,181,84,154,81,27,32,168,64,128,58,40,32,40,32,0,17
1.2,Fauntleroy/Seaview,11139,595,10710,604,10326,617,384,129,315,126,69,50,429,167,224,115,205,112,160,103,45,40
1.3,West Seattle Junction/Genesee Hill,14574,623,13568,617,12959,641,609,178,462,152,147,95,1006,278,498,170,508,226,321,139,187,144
1.4,Alki/Admiral,8980,442,8551,433,8108,492,443,247,418,248,25,34,429,205,149,79,280,191,149,110,131,155
2.1,North Delridge,2988,390,2781,395,2613,400,168,104,168,104,0,12,207,187,34,42,173,187,102,103,71,88
2.2,High Point,2466,364,2378,368,2369,369,9,18,9,18,0,17,88,68,26,25,62,62,35,50,27,34
2.3,Riverview,2330,260,2275,268,2194,265,81,53,73,51,8,13,55,38,44,34,11,19,11,19,0,12
2.4,Roxhill/Westwood,6201,511,5929,493,5619,477,310,102,238,90,72,52,272,119,209,97,63,69,16,25,47,54
2.5,Highland Park,2889,320,2746,331,2644,329,102,69,52,54,50,48,143,77,88,57,55,57,44,46,11,22
3.1,South Park,1073,215,1053,216,1003,214,50,45,50,45,0,17,20,26,6,16,14,24,14,24,0,17
3.2,Georgetown,697,145,693,147,654,153,39,42,39,42,0,12,4,8,0,12,4,8,4,8,0,12
3.3,Duwamish/SODO,1152,253,1082,247,1069,244,13,15,10,13,3,7,70,56,40,32,30,46,20,32,10,22
3.4,South Beacon Hill/NewHolly,1730,345,1621,339,1522,342,99,63,90,61,9,22,109,63,51,38,58,42,24,24,34,37
3.5,Beacon Hill,1736,341,1606,336,1485,339,121,93,118,93,3,14,130,116,28,35,102,109,64,56,38,64
3.6,North Beacon Hill/Jefferson Park,3926,400,3776,383,3617,390,159,104,140,90,19,35,150,95,80,59,70,75,66,73,4,24
4.1,Rainier Beach,3264,430,3214,421,3183,414,31,37,15,32,16,33,50,50,50,50,0,27,0,27,0,27
4.2,Columbia City,4952,547,4702,514,4376,517,326,134,305,134,21,40,250,118,149,89,101,64,63,50,38,43
4.3,Seward Park,4214,337,3814,328,3501,338,313,122,304,121,9,18,400,146,196,80,204,125,99,59,105,101
4.4,Mt. Baker/North Rainier,3091,317,2954,335,2721,361,233,124,182,118,51,49,137,83,105,78,32,39,32,39,0,17
5.1,Madrona/Leschi,5650,433,5214,429,4957,423,257,103,242,98,15,29,436,176,288,180,148,99,148,99,0,21
5.2,Judkins Park,646,143,584,142,530,134,54,52,54,52,0,12,62,38,35,30,27,37,4,9,23,36
5.3,Central Area/Squire Park,9402,586,8757,580,8312,601,445,154,371,149,74,49,645,167,440,147,205,102,171,91,34,42
6.1,First Hill,8838,684,8281,657,7713,632,568,197,482,191,86,60,557,164,174,84,383,144,259,123,124,88
6.2,Capitol Hill,14797,780,13658,770,12832,791,826,264,728,245,98,77,1139,353,642,271,497,230,341,192,156,128
6.3,North Capitol Hill,3106,301,2898,270,2764,279,134,72,124,68,10,18,208,120,177,115,31,38,31,38,0,12
6.4,Miller Park,5199,352,4911,337,4789,332,122,69,74,44,48,52,288,105,117,56,171,83,131,76,40,31
6.5,Madison Park,4338,359,4084,344,3864,338,220,107,208,106,12,20,254,126,60,47,194,111,161,109,33,38
7.1,Montlake/Portage Bay,7729,454,7313,450,7081,454,232,110,207,112,25,30,416,156,274,127,142,77,112,61,30,36
7.2,University District,12042,1205,11590,1183,10955,1187,635,210,601,205,34,45,452,141,133,83,319,119,217,87,102,107
7.3,Ravenna/Bryant,18255,741,17112,746,16266,742,846,221,776,201,70,60,1143,252,679,192,464,163,301,105,163,103
7.4,Wedgwood/View Ridge,11051,457,10330,453,9808,459,522,143,478,135,44,45,721,200,247,102,474,173,290,110,184,122
7.5,Laurelhurst/Sand Point,7945,577,7421,591,7138,576,283,115,244,106,39,40,524,187,275,121,249,155,202,151,47,43
8.1,Northgate/Maple Leaf,8547,487,7588,469,7299,473,289,111,249,110,40,31,959,269,364,144,595,240,268,132,327,210
8.2,Olympic Hills/Victory Heights,8925,569,8348,592,7954,577,394,148,267,110,127,97,577,224,327,139,250,177,101,88,149,115
8.3,Cedar Park/Meadowbrook,8089,476,7641,497,7414,505,227,91,210,89,17,27,448,132,287,105,161,83,116,73,45,41
9.1,Broadview/Bitter Lake,9654,700,8856,668,8437,667,419,126,378,123,41,45,798,296,206,83,592,280,372,249,220,135
9.2,Licton Springs,5440,443,5228,429,5091,443,137,79,87,67,50,44,212,108,146,88,66,62,32,34,34,54
9.3,Greenwood/Phinney Ridge,17568,612,16684,621,16154,633,530,153,491,153,39,43,884,209,531,151,353,150,252,97,101,90
9.4,Green Lake,10800,606,10123,614,9634,645,489,179,418,171,71,48,677,191,327,149,350,135,288,113,62,76
9.5,Haller Lake,5942,391,5372,369,5182,379,190,101,162,89,28,48,570,240,225,96,345,226,328,223,17,27
10.1,North Beach/Blue Ridge,9225,390,8665,403,8409,412,256,86,201,79,55,39,560,146,265,106,295,118,203,91,92,61
10.2,Whittier Heights,9504,424,9058,426,8722,448,336,133,301,125,35,43,446,135,249,94,197,109,157,96,40,52
10.3,Sunset Hill/Loyal Heights,11389,559,10638,574,10210,551,428,164,352,155,76,59,751,209,440,147,311,146,232,125,79,73
10.4,Ballard,5491,449,4991,449,4841,453,150,105,131,107,19,30,500,316,78,59,422,312,370,295,52,62
11.1,Fremont,12383,493,11710,488,11338,496,372,143,355,143,17,33,673,197,339,148,334,135,325,134,9,26
11.2,Wallingford,12224,832,11660,833,11177,802,483,174,449,170,34,36,564,154,323,120,241,99,182,92,59,48
11.3,Cascade/Eastlake,8068,654,7445,646,7190,632,255,98,237,93,18,33,623,220,237,111,386,202,318,185,68,83
12.1,Magnolia,10426,580,9440,569,8935,556,505,222,468,213,37,40,986,242,557,183,429,145,357,132,72,57
12.2,Interbay,7662,527,6948,504,6540,520,408,165,387,161,21,27,714,332,275,133,439,271,240,138,199,166
12.3,Queen Anne,28084,1057,26526,1069,25643,1073,883,204,764,183,119,74,1558,268,805,187,753,194,668,181,85,73
13.1,Belltown,5701,497,5215,480,4965,467,250,119,228,113,22,38,486,150,285,114,201,100,186,97,15,29
13.2,Downtown Commercial Core,2636,294,2342,260,2235,268,107,93,107,93,0,12,294,134,121,65,173,106,164,104,9,20
13.3,Pioneer Square/International District,1681,218,1536,218,1515,221,21,21,13,21,8,18,145,92,24,27,121,88,78,70,43,53
